"date","open","high","low","close"
2018-11-26,4355.52,4527,4293,4389.04
2018-11-27,4389.01,4450,3734.72,3866.78
2018-11-28,3866.78,4233,3652.66,4085.81
2018-11-29,4085.81,4096.38,3701,3849.54
2018-11-30,3849.82,4150,3689.12,4106.8
2018-12-01,4106.3,4394.47,4019.85,4212.71
2018-12-02,4214.87,4450.38,4170.22,4223.27
2018-12-03,4223.37,4255.27,3943,3997.8
2018-12-04,3997.78,4312.99,3997.77,4179.93
2018-12-05,4180.01,4268,3982,4032.76
2018-12-06,4032.76,4068,3781,4027.64
2018-12-07,4027.64,4085,3831.25,3850.89
2018-12-08,3851.52,3925.97,3678,3859.33
2018-12-09,3859.33,3890,3341.04,3398
2018-12-10,3398.38,3549.99,3224.6,3428.78
2018-12-11,3429.55,3540.71,3222,3416.72
2018-12-12,3417.06,3658,3394.04,3503.63
2018-12-13,3503.63,3537,3370.11,3421.26
2018-12-14,3421.85,3443.79,3324.32,3405.96
2018-12-15,3405.4,3492,3362.93,3402.6
2018-12-16,3402.62,3435,3250,3307.42
2018-12-17,3307.4,3325,3177,3227.9
2018-12-18,3228.48,3293.64,3156.26,3251.12
2018-12-19,3251.1,3294,3215.2,3273.33
2018-12-20,3273.33,3585,3255.21,3510.83
2018-12-21,3510.81,3749,3424.47,3698.31
2018-12-22,3699.59,3912.73,3630.23,3733.7
2018-12-23,3733.68,4139.99,3732.15,3986
2018-12-24,3986,4070.99,3764,3834.7
2018-12-25,3835,4003.84,3785,3958.92
2018-12-26,3957.07,4196.28,3870,4161.5
2018-12-27,4160.06,4198,3705,3750.39
2018-12-28,3750.57,3837.15,3646.41,3743.45
2018-12-29,3743.45,3813.98,3656.74,3725.47
2018-12-30,3725.06,3760.95,3535,3561
2018-12-31,3560.87,3887.25,3552,3858.26
2019-01-01,3857.21,3892,3657.9,3724.94
2019-01-02,3724.93,3903.5,3715.73,3754.45
2019-01-03,3755.35,3791.63,3630.33,3713.83
2019-01-04,3714.19,3810.16,3642,3771.08
2019-01-05,3772.64,3882.14,3770,3828.88
2019-01-06,3828.88,3832.83,3730,3783.28
2019-01-07,3783.28,3840.99,3703.57,3785.15
2019-01-08,3784.37,3820,3740,3767.94
2019-01-09,3768.11,4027.71,3761.81,4001
2019-01-10,4001.02,4015,3921.53,3953.6
2019-01-11,3953.14,4069.8,3903,3987.88
2019-01-12,3987.76,4006.81,3731.01,3777.02
2019-01-13,3777.54,3783.32,3540,3595.47
2019-01-14,3595.47,3658,3465,3582.38
2019-01-15,3582.09,3612.39,3530,3583.68
